name	holdout_sharpe	holdout_ann	holdout_dd	composite	alpha_inf	beats_raw
regime mom_resid_vol sm16 w0.40 cg0.95 cb0.75 mn0.25 neu0.55 boostmid	0.3461	0.0206	-0.0925	0.4360	1.0000	False
regime mom_resid_vol sm16 w0.40 cg0.95 cb0.75 mn0.25 neu0.70 boostmid+low	0.3285	0.0197	-0.0946	0.4191	1.0000	False
regime mom_resid_vol sm16 w0.40 cg0.95 cb0.75 mn0.25 neu0.70 boostmid	0.3461	0.0206	-0.0925	0.4360	1.0000	False
regime mom_resid_vol sm16 w0.40 cg0.95 cb0.75 mn0.35 neu0.55 boostmid+low	0.4948	0.0317	-0.0943	0.5972	1.0000	False
regime mom_resid_vol sm16 w0.40 cg0.95 cb0.75 mn0.35 neu0.55 boostmid	0.5134	0.0325	-0.0925	0.6153	1.0000	False
regime mom_resid_vol sm16 w0.40 cg0.95 cb0.75 mn0.35 neu0.70 boostmid+low	0.5034	0.0323	-0.0940	0.6063	1.0000	False
regime mom_resid_vol sm16 w0.40 cg0.95 cb0.75 mn0.35 neu0.70 boostmid	0.5221	0.0332	-0.0923	0.6244	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.00 cb0.85 mn0.25 neu0.55 boostmid+low	-0.2486	-0.0161	-0.1003	-0.1895	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.00 cb0.85 mn0.25 neu0.55 boostmid	-0.2088	-0.0137	-0.0965	-0.1502	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.00 cb0.85 mn0.25 neu0.70 boostmid+low	-0.2486	-0.0161	-0.1003	-0.1895	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.00 cb0.85 mn0.25 neu0.70 boostmid	-0.2088	-0.0137	-0.0965	-0.1502	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.00 cb0.85 mn0.35 neu0.55 boostmid+low	-0.0342	-0.0039	-0.0953	0.0334	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.00 cb0.85 mn0.35 neu0.55 boostmid	0.0058	-0.0015	-0.0921	0.0735	1.0000	False
