name	tune_min_sharpe	tune_mean_ann	holdout_sharpe	holdout_ret	alpha_influence	coverage	selection	eligible
mom_minus_vol s-1 w0.35 sm18 c0.8	0.4505	0.0544	0.7451	0.1110	1.0000	100.00%	0.3170	True
mom_minus_vol s-1 w0.35 sm22 noc	0.4892	0.0583	0.9250	0.1464	1.0000	100.00%	0.3434	True
mom_minus_vol s-1 w0.35 sm22 c0.5	0.4892	0.0583	0.9305	0.1473	1.0000	100.00%	0.3434	True
mom_minus_vol s-1 w0.35 sm22 c0.8	0.4892	0.0583	0.8380	0.1290	1.0000	100.00%	0.3434	True
mom_minus_vol s-1 w0.45 sm14 noc	0.4381	0.0531	0.7789	0.1123	1.0000	100.00%	0.3082	True
mom_minus_vol s-1 w0.45 sm14 c0.5	0.4381	0.0531	0.7970	0.1151	1.0000	100.00%	0.3082	True
mom_minus_vol s-1 w0.45 sm14 c0.8	0.4381	0.0531	0.6916	0.0969	1.0000	100.00%	0.3082	True
mom_minus_vol s-1 w0.45 sm18 noc	0.4505	0.0544	0.7005	0.1034	1.0000	100.00%	0.3170	True
mom_minus_vol s-1 w0.45 sm18 c0.5	0.4505	0.0544	0.7176	0.1061	1.0000	100.00%	0.3170	True
mom_minus_vol s-1 w0.45 sm18 c0.8	0.4505	0.0544	0.6228	0.0893	1.0000	100.00%	0.3170	True
mom_minus_vol s-1 w0.45 sm22 noc	0.4892	0.0583	0.7490	0.1144	1.0000	100.00%	0.3434	True
mom_minus_vol s-1 w0.45 sm22 c0.5	0.4892	0.0583	0.7640	0.1169	1.0000	100.00%	0.3434	True
mom_minus_vol s-1 w0.45 sm22 c0.8	0.4892	0.0583	0.6730	0.0999	1.0000	100.00%	0.3434	True
mom_minus_vol s-1 w0.55 sm14 noc	0.4381	0.0531	0.6524	0.0905	1.0000	100.00%	0.3082	True
mom_minus_vol s-1 w0.55 sm14 c0.5	0.4381	0.0531	0.6746	0.0938	1.0000	100.00%	0.3082	True
mom_minus_vol s-1 w0.55 sm14 c0.8	0.4381	0.0531	0.5649	0.0759	1.0000	100.00%	0.3082	True
mom_minus_vol s-1 w0.55 sm18 noc	0.4505	0.0544	0.5719	0.0812	1.0000	100.00%	0.3170	True
mom_minus_vol s-1 w0.55 sm18 c0.5	0.4505	0.0544	0.5937	0.0845	1.0000	100.00%	0.3170	True
mom_minus_vol s-1 w0.55 sm18 c0.8	0.4505	0.0544	0.4983	0.0685	1.0000	100.00%	0.3170	True
mom_minus_vol s-1 w0.55 sm22 noc	0.4892	0.0583	0.6379	0.0944	1.0000	100.00%	0.3434	True
mom_minus_vol s-1 w0.55 sm22 c0.5	0.4892	0.0583	0.6576	0.0976	1.0000	100.00%	0.3434	True
mom_minus_vol s-1 w0.55 sm22 c0.8	0.4892	0.0583	0.5673	0.0815	1.0000	100.00%	0.3434	True
mom_resid_vol s1 w0.25 sm14 noc	0.4381	0.0531	1.3186	0.2229	1.0000	100.00%	0.3082	True
mom_resid_vol s1 w0.25 sm14 c0.5	0.4381	0.0531	1.2834	0.2152	1.0000	100.00%	0.3082	True
mom_resid_vol s1 w0.25 sm14 c0.8	0.4381	0.0531	1.2008	0.1961	1.0000	100.00%	0.3082	True
mom_resid_vol s1 w0.25 sm18 noc	0.4505	0.0544	1.3254	0.2280	1.0000	100.00%	0.3170	True
mom_resid_vol s1 w0.25 sm18 c0.5	0.4505	0.0544	1.2907	0.2203	1.0000	100.00%	0.3170	True
mom_resid_vol s1 w0.25 sm18 c0.8	0.4505	0.0544	1.2017	0.1997	1.0000	100.00%	0.3170	True
mom_resid_vol s1 w0.25 sm22 noc	0.4892	0.0583	1.3872	0.2425	1.0000	100.00%	0.3434	True
mom_resid_vol s1 w0.25 sm22 c0.5	0.4892	0.0583	1.3518	0.2344	1.0000	100.00%	0.3434	True
mom_resid_vol s1 w0.25 sm22 c0.8	0.4892	0.0583	1.2606	0.2127	1.0000	100.00%	0.3434	True
mom_resid_vol s1 w0.35 sm14 noc	0.4381	0.0531	1.2540	0.2059	1.0000	100.00%	0.3082	True
mom_resid_vol s1 w0.35 sm14 c0.5	0.4381	0.0531	1.2208	0.1990	1.0000	100.00%	0.3082	True
mom_resid_vol s1 w0.35 sm14 c0.8	0.4381	0.0531	1.1471	0.1823	1.0000	100.00%	0.3082	True
mom_resid_vol s1 w0.35 sm18 noc	0.4505	0.0544	1.2514	0.2094	1.0000	100.00%	0.3170	True
mom_resid_vol s1 w0.35 sm18 c0.5	0.4505	0.0544	1.2185	0.2024	1.0000	100.00%	0.3170	True
mom_resid_vol s1 w0.35 sm18 c0.8	0.4505	0.0544	1.1344	0.1835	1.0000	100.00%	0.3170	True
mom_resid_vol s1 w0.35 sm22 noc	0.4892	0.0583	1.3349	0.2274	1.0000	100.00%	0.3434	True
mom_resid_vol s1 w0.35 sm22 c0.5	0.4892	0.0583	1.3014	0.2201	1.0000	100.00%	0.3434	True
mom_resid_vol s1 w0.35 sm22 c0.8	0.4892	0.0583	1.2120	0.1995	1.0000	100.00%	0.3434	True
mom_resid_vol s1 w0.45 sm14 noc	0.4381	0.0531	1.1267	0.1767	1.0000	100.00%	0.3082	True
mom_resid_vol s1 w0.45 sm14 c0.5	0.4381	0.0531	1.0941	0.1704	1.0000	100.00%	0.3082	True
mom_resid_vol s1 w0.45 sm14 c0.8	0.4381	0.0531	1.0302	0.1566	1.0000	100.00%	0.3082	True
mom_resid_vol s1 w0.45 sm18 noc	0.4505	0.0544	1.2003	0.1942	1.0000	100.00%	0.3170	True
mom_resid_vol s1 w0.45 sm18 c0.5	0.4505	0.0544	1.1687	0.1879	1.0000	100.00%	0.3170	True
mom_resid_vol s1 w0.45 sm18 c0.8	0.4505	0.0544	1.0903	0.1708	1.0000	100.00%	0.3170	True
mom_resid_vol s1 w0.45 sm22 noc	0.4892	0.0583	1.2805	0.2112	1.0000	100.00%	0.3434	True
mom_resid_vol s1 w0.45 sm22 c0.5	0.4892	0.0583	1.2487	0.2046	1.0000	100.00%	0.3434	True
mom_resid_vol s1 w0.45 sm22 c0.8	0.4892	0.0583	1.1592	0.1848	1.0000	100.00%	0.3434	True
mom_resid_vol s1 w0.55 sm14 noc	0.4381	0.0531	1.0348	0.1547	1.0000	100.00%	0.3082	True
mom_resid_vol s1 w0.55 sm14 c0.5	0.4381	0.0531	1.0025	0.1488	1.0000	100.00%	0.3082	True
mom_resid_vol s1 w0.55 sm14 c0.8	0.4381	0.0531	0.9446	0.1370	1.0000	100.00%	0.3082	True
mom_resid_vol s1 w0.55 sm18 noc	0.4505	0.0544	1.1200	0.1734	1.0000	100.00%	0.3170	True
mom_resid_vol s1 w0.55 sm18 c0.5	0.4505	0.0544	1.0886	0.1674	1.0000	100.00%	0.3170	True
mom_resid_vol s1 w0.55 sm18 c0.8	0.4505	0.0544	1.0140	0.1521	1.0000	100.00%	0.3170	True
mom_resid_vol s1 w0.55 sm22 noc	0.4892	0.0583	1.2087	0.1916	1.0000	100.00%	0.3434	True
mom_resid_vol s1 w0.55 sm22 c0.5	0.4892	0.0583	1.1774	0.1855	1.0000	100.00%	0.3434	True
mom_resid_vol s1 w0.55 sm22 c0.8	0.4892	0.0583	1.0906	0.1673	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.25 sm14 noc	0.4381	0.0531	1.3676	0.2288	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.25 sm14 c0.5	0.4381	0.0531	1.3365	0.2222	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.25 sm14 c0.8	0.4381	0.0531	1.2425	0.2010	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.25 sm18 noc	0.4505	0.0544	1.2818	0.2164	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.25 sm18 c0.5	0.4505	0.0544	1.2514	0.2100	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.25 sm18 c0.8	0.4505	0.0544	1.1577	0.1890	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.25 sm22 noc	0.4892	0.0583	1.2983	0.2228	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.25 sm22 c0.5	0.4892	0.0583	1.2669	0.2160	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.25 sm22 c0.8	0.4892	0.0583	1.1738	0.1948	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.35 sm14 noc	0.4381	0.0531	1.3280	0.2186	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.35 sm14 c0.5	0.4381	0.0531	1.3003	0.2129	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.35 sm14 c0.8	0.4381	0.0531	1.2073	0.1925	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.35 sm18 noc	0.4505	0.0544	1.2336	0.2049	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.35 sm18 c0.5	0.4505	0.0544	1.2065	0.1993	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.35 sm18 c0.8	0.4505	0.0544	1.1142	0.1792	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.35 sm22 noc	0.4892	0.0583	1.2822	0.2178	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.35 sm22 c0.5	0.4892	0.0583	1.2546	0.2120	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.35 sm22 c0.8	0.4892	0.0583	1.1630	0.1914	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.45 sm14 noc	0.4381	0.0531	1.2937	0.2097	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.45 sm14 c0.5	0.4381	0.0531	1.2691	0.2048	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.45 sm14 c0.8	0.4381	0.0531	1.1777	0.1852	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.45 sm18 noc	0.4505	0.0544	1.1691	0.1910	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.45 sm18 c0.5	0.4505	0.0544	1.1451	0.1863	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.45 sm18 c0.8	0.4505	0.0544	1.0536	0.1669	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.45 sm22 noc	0.4892	0.0583	1.2471	0.2093	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.45 sm22 c0.5	0.4892	0.0583	1.2227	0.2042	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.45 sm22 c0.8	0.4892	0.0583	1.1311	0.1840	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.55 sm14 noc	0.4381	0.0531	1.2742	0.2037	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.55 sm14 c0.5	0.4381	0.0531	1.2534	0.1997	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.55 sm14 c0.8	0.4381	0.0531	1.1611	0.1803	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.55 sm18 noc	0.4505	0.0544	1.1286	0.1816	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.55 sm18 c0.5	0.4505	0.0544	1.1083	0.1777	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.55 sm18 c0.8	0.4505	0.0544	1.0188	0.1591	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.55 sm22 noc	0.4892	0.0583	1.2162	0.2017	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.55 sm22 c0.5	0.4892	0.0583	1.1958	0.1976	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.55 sm22 c0.8	0.4892	0.0583	1.1049	0.1779	1.0000	100.00%	0.3434	True
canonical_vol s-1 w0.25 sm14 noc	0.4381	0.0531	-1.8067	-0.1767	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.25 sm14 c0.5	0.4381	0.0531	-1.8866	-0.1818	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.25 sm14 c0.8	0.4381	0.0531	-1.9857	-0.1886	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.25 sm18 noc	0.4505	0.0544	-0.9871	-0.0958	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.25 sm18 c0.5	0.4505	0.0544	-1.0637	-0.1015	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.25 sm18 c0.8	0.4505	0.0544	-1.1994	-0.1122	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.25 sm22 noc	0.4892	0.0583	-0.7632	-0.0776	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.25 sm22 c0.5	0.4892	0.0583	-0.8399	-0.0837	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.25 sm22 c0.8	0.4892	0.0583	-0.9778	-0.0953	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.35 sm14 noc	0.4381	0.0531	-2.5522	-0.2679	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.35 sm14 c0.5	0.4381	0.0531	-2.5924	-0.2706	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.35 sm14 c0.8	0.4381	0.0531	-2.7282	-0.2793	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.35 sm18 noc	0.4505	0.0544	-1.8052	-0.2038	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.35 sm18 c0.5	0.4505	0.0544	-1.8421	-0.2069	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.35 sm18 c0.8	0.4505	0.0544	-1.9826	-0.2178	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.35 sm22 noc	0.4892	0.0583	-1.7464	-0.2056	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.35 sm22 c0.5	0.4892	0.0583	-1.7895	-0.2092	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.35 sm22 c0.8	0.4892	0.0583	-1.9226	-0.2199	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.45 sm14 noc	0.4381	0.0531	-2.5786	-0.2925	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.45 sm14 c0.5	0.4381	0.0531	-2.5875	-0.2933	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.45 sm14 c0.8	0.4381	0.0531	-2.7213	-0.3021	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.45 sm18 noc	0.4505	0.0544	-2.0296	-0.2432	1.0000	100.00%	0.3170	False
