name	tune_min_sharpe	tune_mean_ann	holdout_sharpe	holdout_ret	alpha_influence	coverage	selection	eligible
radial_distance s1 w0.25 sm22 c0.5	0.4892	0.0583	1.0203	0.1416	1.0000	100.00%	0.3434	True
radial_distance s1 w0.25 sm22 c0.8	0.4892	0.0583	0.8962	0.1207	1.0000	100.00%	0.3434	True
radial_distance s1 w0.35 sm14 noc	0.4381	0.0531	0.9548	0.1142	1.0000	100.00%	0.3082	True
radial_distance s1 w0.35 sm14 c0.5	0.4381	0.0531	0.9197	0.1093	1.0000	100.00%	0.3082	True
radial_distance s1 w0.35 sm14 c0.8	0.4381	0.0531	0.7837	0.0903	1.0000	100.00%	0.3082	True
radial_distance s1 w0.35 sm18 noc	0.4505	0.0544	0.8757	0.1071	1.0000	100.00%	0.3170	True
radial_distance s1 w0.35 sm18 c0.5	0.4505	0.0544	0.8414	0.1022	1.0000	100.00%	0.3170	True
radial_distance s1 w0.35 sm18 c0.8	0.4505	0.0544	0.7064	0.0831	1.0000	100.00%	0.3170	True
radial_distance s1 w0.35 sm22 noc	0.4892	0.0583	0.7990	0.0983	1.0000	100.00%	0.3434	True
radial_distance s1 w0.35 sm22 c0.5	0.4892	0.0583	0.7628	0.0931	1.0000	100.00%	0.3434	True
radial_distance s1 w0.35 sm22 c0.8	0.4892	0.0583	0.6233	0.0735	1.0000	100.00%	0.3434	True
radial_distance s1 w0.45 sm14 noc	0.4381	0.0531	0.7010	0.0760	1.0000	100.00%	0.3082	True
radial_distance s1 w0.45 sm14 c0.5	0.4381	0.0531	0.6712	0.0724	1.0000	100.00%	0.3082	True
radial_distance s1 w0.45 sm14 c0.8	0.4381	0.0531	0.5249	0.0546	1.0000	100.00%	0.3082	True
radial_distance s1 w0.45 sm18 noc	0.4505	0.0544	0.6341	0.0697	1.0000	100.00%	0.3170	True
radial_distance s1 w0.45 sm18 c0.5	0.4505	0.0544	0.6051	0.0661	1.0000	100.00%	0.3170	True
radial_distance s1 w0.45 sm18 c0.8	0.4505	0.0544	0.4541	0.0477	1.0000	100.00%	0.3170	True
radial_distance s1 w0.45 sm22 noc	0.4892	0.0583	0.5758	0.0634	1.0000	100.00%	0.3434	True
radial_distance s1 w0.45 sm22 c0.5	0.4892	0.0583	0.5450	0.0596	1.0000	100.00%	0.3434	True
radial_distance s1 w0.45 sm22 c0.8	0.4892	0.0583	0.3920	0.0410	1.0000	100.00%	0.3434	True
radial_distance s1 w0.55 sm14 noc	0.4381	0.0531	0.5362	0.0536	1.0000	100.00%	0.3082	True
radial_distance s1 w0.55 sm14 c0.5	0.4381	0.0531	0.5108	0.0508	1.0000	100.00%	0.3082	True
radial_distance s1 w0.55 sm14 c0.8	0.4381	0.0531	0.3560	0.0339	1.0000	100.00%	0.3082	True
radial_distance s1 w0.55 sm18 noc	0.4505	0.0544	0.5020	0.0510	1.0000	100.00%	0.3170	True
radial_distance s1 w0.55 sm18 c0.5	0.4505	0.0544	0.4772	0.0482	1.0000	100.00%	0.3170	True
radial_distance s1 w0.55 sm18 c0.8	0.4505	0.0544	0.3172	0.0304	1.0000	100.00%	0.3170	True
radial_distance s1 w0.55 sm22 noc	0.4892	0.0583	0.4453	0.0452	1.0000	100.00%	0.3434	True
radial_distance s1 w0.55 sm22 c0.5	0.4892	0.0583	0.4195	0.0423	1.0000	100.00%	0.3434	True
radial_distance s1 w0.55 sm22 c0.8	0.4892	0.0583	0.2562	0.0242	1.0000	100.00%	0.3434	True
