name	min_sharpe	mean_sharpe	mean_return	coverage	meets_target
hybrid c0.00 s10 w0.1 c5	0.5313	0.5911	0.0887	12.06%	False
hybrid c0.00 s10 w0.1 c10	-0.0542	-0.0493	-0.0122	12.06%	False
hybrid c0.00 s10 w0.2 c5	0.5313	0.5911	0.0887	12.06%	False
hybrid c0.00 s10 w0.2 c10	-0.0542	-0.0493	-0.0122	12.06%	False
hybrid c0.00 s10 w0.3 c5	0.5313	0.5911	0.0887	12.06%	False
hybrid c0.00 s10 w0.3 c10	-0.0542	-0.0493	-0.0122	12.06%	False
hybrid c0.00 s10 w0.4 c5	0.5313	0.5911	0.0887	12.06%	False
hybrid c0.00 s10 w0.4 c10	-0.0542	-0.0493	-0.0122	12.06%	False
hybrid c0.00 s10 w0.5 c5	0.5313	0.5911	0.0887	12.06%	False
hybrid c0.00 s10 w0.5 c10	-0.0542	-0.0493	-0.0122	12.06%	False
hybrid c0.00 s12 w0.1 c5	0.5440	0.6053	0.0918	12.06%	False
hybrid c0.00 s12 w0.1 c10	-0.0290	-0.0264	-0.0089	12.06%	False
hybrid c0.00 s12 w0.2 c5	0.5440	0.6053	0.0918	12.06%	False
hybrid c0.00 s12 w0.2 c10	-0.0290	-0.0264	-0.0089	12.06%	False
hybrid c0.00 s12 w0.3 c5	0.5440	0.6053	0.0918	12.06%	False
hybrid c0.00 s12 w0.3 c10	-0.0290	-0.0264	-0.0089	12.06%	False
hybrid c0.00 s12 w0.4 c5	0.5440	0.6053	0.0918	12.06%	False
hybrid c0.00 s12 w0.4 c10	-0.0290	-0.0264	-0.0089	12.06%	False
hybrid c0.00 s12 w0.5 c5	0.5440	0.6053	0.0918	12.06%	False
hybrid c0.00 s12 w0.5 c10	-0.0290	-0.0264	-0.0089	12.06%	False
hybrid c0.00 s14 w0.1 c5	0.5561	0.6186	0.0947	12.06%	False
hybrid c0.00 s14 w0.1 c10	-0.0069	-0.0063	-0.0059	12.06%	False
hybrid c0.00 s14 w0.2 c5	0.5561	0.6186	0.0947	12.06%	False
hybrid c0.00 s14 w0.2 c10	-0.0069	-0.0063	-0.0059	12.06%	False
hybrid c0.00 s14 w0.3 c5	0.5561	0.6186	0.0947	12.06%	False
hybrid c0.00 s14 w0.3 c10	-0.0069	-0.0063	-0.0059	12.06%	False
hybrid c0.00 s14 w0.4 c5	0.5561	0.6186	0.0947	12.06%	False
hybrid c0.00 s14 w0.4 c10	-0.0069	-0.0063	-0.0059	12.06%	False
hybrid c0.00 s14 w0.5 c5	0.5561	0.6186	0.0947	12.06%	False
hybrid c0.00 s14 w0.5 c10	-0.0069	-0.0063	-0.0059	12.06%	False
hybrid c0.00 s16 w0.1 c5	0.5662	0.6299	0.0970	12.06%	False
hybrid c0.00 s16 w0.1 c10	0.0089	0.0099	-0.0034	12.06%	False
hybrid c0.00 s16 w0.2 c5	0.5662	0.6299	0.0970	12.06%	False
hybrid c0.00 s16 w0.2 c10	0.0089	0.0099	-0.0034	12.06%	False
hybrid c0.00 s16 w0.3 c5	0.5662	0.6299	0.0970	12.06%	False
hybrid c0.00 s16 w0.3 c10	0.0089	0.0099	-0.0034	12.06%	False
hybrid c0.00 s16 w0.4 c5	0.5662	0.6299	0.0970	12.06%	False
hybrid c0.00 s16 w0.4 c10	0.0089	0.0099	-0.0034	12.06%	False
hybrid c0.00 s16 w0.5 c5	0.5662	0.6299	0.0970	12.06%	False
hybrid c0.00 s16 w0.5 c10	0.0089	0.0099	-0.0034	12.06%	False
hybrid c0.00 s18 w0.1 c5	0.5557	0.6182	0.0956	12.06%	False
hybrid c0.00 s18 w0.1 c10	0.0045	0.0050	-0.0043	12.06%	False
