name	min_sharpe	mean_sharpe	mean_return	coverage	meets_target
hybrid c0.00 s10 w0.1 c5	0.5313	0.5911	0.0887	62.24%	False
hybrid c0.00 s10 w0.1 c10	-0.0542	-0.0493	-0.0122	62.24%	False
hybrid c0.00 s10 w0.2 c5	0.5313	0.5911	0.0887	62.24%	False
hybrid c0.00 s10 w0.2 c10	-0.0542	-0.0493	-0.0122	62.24%	False
hybrid c0.00 s10 w0.3 c5	0.5313	0.5911	0.0887	62.24%	False
hybrid c0.00 s10 w0.3 c10	-0.0542	-0.0493	-0.0122	62.24%	False
hybrid c0.00 s10 w0.4 c5	0.5313	0.5911	0.0887	62.24%	False
hybrid c0.00 s10 w0.4 c10	-0.0542	-0.0493	-0.0122	62.24%	False
hybrid c0.00 s10 w0.5 c5	0.5313	0.5911	0.0887	62.24%	False
hybrid c0.00 s10 w0.5 c10	-0.0542	-0.0493	-0.0122	62.24%	False
hybrid c0.00 s12 w0.1 c5	0.5440	0.6053	0.0918	62.24%	False
hybrid c0.00 s12 w0.1 c10	-0.0290	-0.0264	-0.0089	62.24%	False
hybrid c0.00 s12 w0.2 c5	0.5440	0.6053	0.0918	62.24%	False
hybrid c0.00 s12 w0.2 c10	-0.0290	-0.0264	-0.0089	62.24%	False
hybrid c0.00 s12 w0.3 c5	0.5440	0.6053	0.0918	62.24%	False
hybrid c0.00 s12 w0.3 c10	-0.0290	-0.0264	-0.0089	62.24%	False
hybrid c0.00 s12 w0.4 c5	0.5440	0.6053	0.0918	62.24%	False
hybrid c0.00 s12 w0.4 c10	-0.0290	-0.0264	-0.0089	62.24%	False
hybrid c0.00 s12 w0.5 c5	0.5440	0.6053	0.0918	62.24%	False
hybrid c0.00 s12 w0.5 c10	-0.0290	-0.0264	-0.0089	62.24%	False
hybrid c0.00 s14 w0.1 c5	0.5561	0.6186	0.0947	62.24%	False
hybrid c0.00 s14 w0.1 c10	-0.0069	-0.0063	-0.0059	62.24%	False
hybrid c0.00 s14 w0.2 c5	0.5561	0.6186	0.0947	62.24%	False
hybrid c0.00 s14 w0.2 c10	-0.0069	-0.0063	-0.0059	62.24%	False
